,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
0,Pioneer 0 (Able I)[3],Pioneer 0,17 August 1958,Thor DM-18 Able I[3],USAF,Orbiter,
1,Pioneer 0 (Able I)[3],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4],First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4]
2,Luna E-1 No.1,Luna E-1 No.1,23 September 1958,Luna,OKB-1,Impactor,
3,Luna E-1 No.1,Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],Failed to orbit; rocket disintegrated due to excessive vibration.[3][5],Failed to orbit; rocket disintegrated due to excessive vibration.[3][5]
4,Pioneer 1 (Able II)[3],Pioneer 1,11 October 1958,Thor DM-18 Able I[3],NASA,Orbiter,
5,Pioneer 1 (Able II)[3],"Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]","Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]","Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]","Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]","Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]","Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]"
6,Luna E-1 No.2,Luna E-1 No.2,11 October 1958,Luna,OKB-1,Impactor,
7,Luna E-1 No.2,Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5],Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5]
8,Pioneer 2 (Able III),Pioneer 2,8 November 1958,Thor DM-18 Able I,NASA,Orbiter,
9,Pioneer 2 (Able III),"Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]","Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]","Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]","Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]","Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]","Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]"
